AbilityId,AbilityName,Effect
149,illusion,Comes out disguised as the Pokémon in back.
150,imposter,It transforms itself into the Pokémon it is facing.
151,infiltrator,Passes through the foe’s barrier and strikes.
152,mummy,Contact with this Pokémon spreads this Ability.
153,moxie,Boosts Attack after knocking out any Pokémon.
154,justified,Raises Attack when hit by a Dark-type move.
155,rattled,Some move types scare it and boost its Speed.
156,magic-bounce,Reflects status- changing moves.
157,sap-sipper,Boosts Attack when hit by a Grass-type move.
158,prankster,Gives priority to a status move.
159,sand-force,Boosts certain moves’ power in a sandstorm.
160,iron-barbs,Inflicts damage to the Pokémon on contact.
161,zen-mode,Changes the Pokémon’s shape when HP is halved.
162,victory-star,Boosts the accuracy of its allies and itself.
163,turboblaze,Moves can be used regardless of Abilities.
164,teravolt,Moves can be used regardless of Abilities.
165,aroma-veil,Protects allies from attacks that limit their move choices.
166,flower-veil,Prevents lowering of ally Grass-type Pokémon’s stats.
167,cheek-pouch,Restores HP as well when the Pokémon eats a Berry.
168,protean,Changes the Pokémon’s type to the type of the move it’s using.
169,fur-coat,Halves damage from physical moves.
170,magician,The Pokémon steals the held item of a Pokémon it hits with a move.
171,bulletproof,Protects the Pokémon from some ball and bomb moves.
172,competitive,Boosts the Sp. Atk stat when a stat is lowered.
173,strong-jaw,The Pokémon’s strong jaw gives it tremendous biting power.
174,refrigerate,Normal-type moves become Ice-type moves.
175,sweet-veil,Prevents itself and ally Pokémon from falling asleep.
176,stance-change,The Pokémon changes form depending on how it battles.
177,gale-wings,Gives priority to Flying-type moves.
178,mega-launcher,Powers up aura and pulse moves.
179,grass-pelt,Boosts the Defense stat in Grassy Terrain.
180,symbiosis,The Pokémon can pass an item to an ally.
181,tough-claws,Powers up moves that make direct contact.
182,pixilate,Normal-type moves become Fairy-type moves.
183,gooey,Contact with the Pokémon lowers the attacker’s Speed stat.
184,aerilate,Normal-type moves become Flying-type moves.
185,parental-bond,Parent and child attack together.
186,dark-aura,Powers up each Pokémon’s Dark-type moves.
187,fairy-aura,Powers up each Pokémon’s Fairy-type moves.
188,aura-break,The effects of “Aura” Abilities are reversed.
189,primordial-sea,Affects weather and nullifies any Fire-type attacks.
190,desolate-land,Affects weather and nullifies any Water-type attacks.
191,delta-stream,Affects weather and eliminates all of the Flying type’s weaknesses.
192,stamina,Boosts the Defense stat when hit by an attack.
193,wimp-out,The Pokémon cowardly switches out when its HP becomes half or less.
194,emergency-exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less."
195,water-compaction,Boosts the Pokémon’s Defense stat sharply when hit by a Water-type move.
196,merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
197,shields-down,"When its HP becomes half or less, the Pokémon’s shell breaks and it becomes aggressive."
198,stakeout,Doubles the damage dealt to the target’s replacement if the target switches out.
199,water-bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.
200,steelworker,Powers up Steel-type moves.
201,berserk,Boosts the Pokémon’s Sp. Atk stat when it takes a  hit that causes its HP to become half or less.
202,slush-rush,Boosts the Pokémon’s Speed stat in a hailstorm.
203,long-reach,The Pokémon uses its moves without making contact with the target.
204,liquid-voice,All sound-based moves become Water-type moves.
205,triage,Gives priority to a healing move.
206,galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
207,surge-surfer,Doubles the Pokémon’s Speed stat on Electric Terrain.
208,schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low."
209,disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack."
210,battle-bond,"Defeating an opposing Pokémon strengthens the Pokémon’s bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful."
211,power-construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.
212,corrosion,The Pokémon can poison the target even if it’s a Steel or Poison type.
213,comatose,It’s always drowsing and will never wake up. It can attack without waking up.
214,queenly-majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves."
215,innards-out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
216,dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed."
217,battery,Powers up ally Pokémon’s special moves.
218,fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves."
219,dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves."
220,soul-heart,Boosts its Sp. Atk stat every time a Pokémon faints.
221,tangling-hair,Contact with the Pokémon lowers the attacker’s Speed stat.
222,receiver,The Pokémon copies the Ability of a defeated ally.
223,power-of-alchemy,The Pokémon copies the Ability of a defeated ally.
224,beast-boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
225,rks-system,Changes the Pokémon’s type to match the memory disc it holds.
226,electric-surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
227,psychic-surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
228,misty-surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
229,grassy-surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
230,full-metal-body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
231,shadow-shield,Reduces the amount of damage the Pokémon takes while its HP is full.
232,prism-armor,Reduces the power of supereffective attacks taken.
233,neuroforce,Powers up moves that are super effective.
234,intrepid-sword,Boosts the Pokémon’s Attack stat when the Pokémon enters a battle.
235,dauntless-shield,Boosts the Pokémon’s Defense stat when the Pokémon enters a battle.
236,libero,Changes the Pokémon’s type to the type of the move it’s about to use.
237,ball-fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
238,cotton-down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself."
239,propeller-tail,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.
240,mirror-armor,Bounces back only the stat-lowering effects that the Pokémon receives.
241,gulp-missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
242,stalwart,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.
243,steam-engine,Boosts the Pokémon’s Speed stat drastically if hit by a Fire- or Water-type move.
244,punk-rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.
245,sand-spit,The Pokémon creates a sandstorm when it’s hit by an attack.
246,ice-scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves."
247,ripen,Ripens Berries and doubles their effect.
248,ice-face,"The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it hails."
249,power-spot,Just being next to the Pokémon powers up moves.
250,mimicry,Changes the Pokémon’s type depending on the terrain.
251,screen-cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon."
252,steely-spirit,Powers up ally Pokémon’s Steel-type moves.
253,perish-body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
254,wandering-spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.
255,gorilla-tactics,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.
256,neutralizing-gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered."
257,pastel-veil,Protects the Pokémon and its ally Pokémon from being poisoned.
258,hunger-switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn."
259,quick-draw,Enables the Pokémon to move first occasionally.
260,unseen-fist,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself."
261,curious-medicine,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
262,transistor,Powers up Electric-type moves.
263,dragons-maw,Powers up Dragon-type moves.
264,chilling-neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
265,grim-neigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat."
266,as-one-glastrier,This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s Chilling Neigh Ability.
267,as-one-spectrier,This Ability combines the effects of both Calyrex’s Unnerve Ability and Spectrier’s Grim Neigh Ability.
